                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4626,                 1.9352,                0.77878,                 1.0501,                0.83558,                0.80268,                0.88118,                0.51389,                 0.8249,                 0.7867,                 0.8645,                0.45767,                  1.465,                 2.1776,                 0.8459,                 1.1692,              0.0016877,              0.0016877,              0.0016877
                     54,                 1.4455,                 1.9017,                0.76577,                 1.0427,                0.82603,                0.81455,                0.87879,                0.51302,                 0.8193,                0.79901,                0.86216,                0.44955,                 1.4335,                 2.1479,                0.84886,                 1.1574,              0.0016763,              0.0016763,              0.0016763
                     55,                 1.4449,                 1.8851,                0.75243,                 1.0475,                0.82886,                0.79358,                0.87018,                0.50158,                 0.8266,                0.78834,                0.86278,                0.44518,                 1.4556,                 2.1436,                0.84772,                 1.1668,              0.0016647,              0.0016647,              0.0016647
                     56,                 1.4493,                  1.906,                0.76146,                 1.0515,                0.81765,                0.78454,                0.86701,                0.50064,                0.81918,                0.76857,                0.85779,                0.44879,                 1.4726,                 2.1887,                0.83922,                 1.1695,               0.001653,               0.001653,               0.001653
                     57,                   1.46,                  1.915,                 0.7792,                 1.0541,                 0.8251,                0.80457,                0.87672,                   0.51,                0.82294,                0.79944,                0.87306,                0.46585,                 1.4792,                 2.1039,                0.86491,                  1.166,               0.001641,               0.001641,               0.001641
                     58,                 1.4263,                 1.8763,                0.74629,                 1.0473,                0.83932,                0.79426,                0.87766,                0.50683,                0.82679,                0.77979,                0.86351,                0.44754,                 1.5125,                 2.2108,                0.89308,                 1.1907,               0.001629,               0.001629,               0.001629
                     59,                 1.4193,                 1.8747,                0.74869,                 1.0373,                0.82433,                0.80721,                0.87832,                0.51192,                 0.8123,                0.79253,                0.85794,                0.44671,                 1.5114,                 2.2098,                0.86164,                 1.2009,              0.0016168,              0.0016168,              0.0016168
                     60,                  1.433,                 1.8931,                0.74883,                 1.0388,                0.83219,                0.78217,                0.86611,                0.50487,                0.82614,                0.76986,                0.85505,                0.44968,                 1.4642,                 2.1692,                0.92776,                 1.1757,              0.0016044,              0.0016044,              0.0016044
                     61,                 1.4271,                 1.8877,                0.74988,                 1.0459,                0.83632,                0.80009,                  0.879,                0.51291,                0.83383,                0.79082,                0.87111,                0.45855,                 1.4352,                 2.1119,                0.82453,                 1.1536,              0.0015919,              0.0015919,              0.0015919
                     62,                 1.4164,                 1.8596,                0.73433,                 1.0305,                0.84111,                0.80455,                0.88275,                0.51815,                0.83424,                 0.7921,                  0.872,                0.46688,                 1.4593,                 2.1284,                0.83052,                 1.1659,              0.0015793,              0.0015793,              0.0015793
                     63,                  1.426,                 1.8879,                0.74822,                 1.0425,                0.83796,                0.80138,                0.88025,                0.49897,                0.82801,                0.79095,                0.87127,                0.46352,                  1.568,                 2.1666,                0.86838,                 1.2127,              0.0015665,              0.0015665,              0.0015665
                     64,                 1.4285,                 1.8836,                0.75323,                 1.0358,                0.81816,                0.79059,                0.86905,                0.50419,                0.81798,                0.76937,                0.85952,                0.44798,                 1.5137,                 2.2155,                0.85834,                 1.1836,              0.0015535,              0.0015535,              0.0015535
                     65,                 1.4378,                 1.8863,                0.74782,                 1.0415,                 0.8275,                0.79538,                0.87555,                0.51032,                0.82331,                0.78064,                0.86178,                0.45464,                 1.4774,                 2.2094,                0.83268,                 1.1844,              0.0015405,              0.0015405,              0.0015405
                     66,                   1.44,                 1.8838,                0.75617,                 1.0355,                0.83378,                0.80505,                0.88206,                0.51566,                0.83338,                0.78433,                 0.8671,                0.45548,                 1.4791,                 2.1152,                0.82212,                 1.1817,              0.0015273,              0.0015273,              0.0015273
