                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.4865,                 1.9891,                0.80892,                 1.0517,                0.82406,                0.76345,                0.85279,                0.48359,                0.82101,                0.74115,                0.83591,                0.43008,                 1.5223,                 2.2515,                0.96599,                 1.1775,                0.00182,                0.00182,                0.00182
                     41,                  1.488,                 1.9782,                0.80192,                 1.0313,                0.79875,                0.78627,                  0.854,                0.48483,                0.80163,                0.75989,                0.83776,                0.42807,                 1.5563,                 2.2199,                0.93031,                 1.1859,              0.0018109,              0.0018109,              0.0018109
                     42,                 1.4902,                 1.9911,                0.81194,                 1.0482,                0.80427,                0.77915,                 0.8559,                0.48032,                0.79972,                0.76252,                 0.8404,                0.42144,                 1.6168,                 2.2182,                0.93299,                 1.2442,              0.0018017,              0.0018017,              0.0018017
                     43,                 1.4902,                 1.9989,                0.81251,                  1.043,                0.80959,                0.79814,                0.85994,                0.48805,                0.80177,                0.78368,                0.84597,                0.43105,                 1.5329,                 2.1792,                0.87816,                 1.1891,              0.0017923,              0.0017923,              0.0017923
                     44,                  1.478,                 1.9743,                0.79339,                  1.042,                0.80379,                0.76677,                0.83951,                0.46974,                0.79229,                0.74281,                0.82005,                0.41076,                 1.5481,                  2.264,                0.90382,                 1.2006,              0.0017826,              0.0017826,              0.0017826
                     45,                 1.4885,                 1.9937,                0.80385,                 1.0533,                0.80754,                  0.788,                0.85373,                0.48019,                0.79679,                0.77396,                0.83762,                0.41952,                 1.5823,                 2.4145,                0.90212,                 1.2052,              0.0017728,              0.0017728,              0.0017728
                     46,                 1.4747,                 1.9796,                0.79948,                 1.0378,                 0.8217,                0.77353,                0.85596,                0.48254,                0.81341,                0.76326,                0.84146,                 0.4258,                 1.5925,                 2.3102,                0.95558,                  1.234,              0.0017628,              0.0017628,              0.0017628
                     47,                  1.469,                  1.974,                0.79685,                 1.0352,                0.80474,                0.79367,                0.85951,                0.48327,                0.80673,                0.76706,                0.84342,                0.42244,                 1.5546,                 2.1988,                0.90535,                 1.1887,              0.0017526,              0.0017526,              0.0017526
                     48,                  1.484,                 1.9965,                0.79326,                 1.0474,                0.81238,                0.79735,                0.86811,                0.50124,                0.81224,                0.78261,                0.85694,                0.45053,                 1.4984,                 2.1477,                0.86266,                 1.1582,              0.0017422,              0.0017422,              0.0017422
                     49,                 1.4988,                 2.0017,                0.80153,                 1.0422,                0.79879,                0.79793,                0.86199,                0.49339,                0.78933,                0.78138,                 0.8464,                0.43799,                 1.5312,                   2.23,                0.93155,                 1.1714,              0.0017317,              0.0017317,              0.0017317
